"icao","naziv","drzava","koordinate"
"AYPY","Port Moresby Jacksons International Airport","PG","147.22000122070312, -9.4433803"
"BIKF","Keflavik International Airport","IS","-22.605600357056, 63.985000610"
"CA-0671","Cyll","CA","-110.072021, 53.310365"
"CN-0083","Guodu air base","CN","117.63201, 36.001741"
"CYEG","Edmonton International Airport","CA","-113.580001831, 53.30970001220"
"CYHZ","Halifax / Stanfield International Airport","CA","-63.5085983276, 44.8807983398"
"CYOW","Ottawa Macdonald-Cartier International Airport","CA","-75.66919708251953, 45.3224983"
"CYUL","Montreal / Pierre Elliott Trudeau International Airport","CA","-73.7407989502, 45.4706001282"
"CYVR","Vancouver International Airport","CA","-123.183998108, 49.193901062"
"CYWG","Winnipeg / James Armstrong Richardson International Airport","CA","-97.2398986816, 49.90999984739"
"CYYC","Calgary International Airport","CA","-114.019996643, 51.113899231"
"CYYJ","Victoria International Airport","CA","-123.426002502, 48.646900177"
"CYYT","St. John's International Airport","CA","-52.7518997192, 47.618598938"
"CYYZ","Lester B. Pearson International Airport","CA","-79.63059997559999, 43.6772003"
"DAAG","Houari Boumediene Airport","DZ","3.215409994125366, 36.69100189"
"DFFD","Ouagadougou Airport","BF","-1.51242, 12.3532"
"DGAA","Kotoka International Airport","GH","-0.16678600013256073, 5.605189"
"DNAA","Nnamdi Azikiwe International Airport","NG","7.263169765472412, 9.006790161"
"DNAI","Akwa Ibom International Airport","NG","8.093, 4.8725"
"DNKN","Mallam Aminu International Airport","NG","8.52462, 12.0476"
"DNMM","Murtala Muhammed International Airport","NG","3.321160078048706, 6.577370166"
"DRRN","Diori Hamani International Airport","NE","2.18361, 13.4815"
"DTTA","Tunis Carthage International Airport","TN","10.22719955444336, 36.85100173"
"EBBR","Brussels Airport","BE","4.48443984985, 50.901401519800"
"EBCI","Brussels South Charleroi Airport","BE","4.45382, 50.459202"
"EDDB","Berlin-Schnefeld Airport","DE","13.5225, 52.380001"
"EDDC","Dresden Airport","DE","13.767200469970703, 51.1328010"
"EDDF","Frankfurt am Main Airport","DE","8.570556, 50.033333"
"EDDH","Hamburg Airport","DE","9.9882297515869, 53.6304016113"
"EDDK","Cologne Bonn Airport","DE","7.1427397728, 50.8658981323"
"EDDL","Düsseldorf Airport","DE","6.76678, 51.289501"
"EDDM","Munich Airport","DE","11.7861, 48.353802"
"EDDN","Nuremberg Airport","DE","11.078056, 49.498699"
"EDDP","Leipzig/Halle Airport","DE","12.236389, 51.423889"
"EDDS","Stuttgart Airport","DE","9.22196006775, 48.689899444599"
"EDDT","Berlin-Tegel Airport","DE","13.2877, 52.5597"
"EDDV","Hannover Airport","DE","9.685079574580001, 52.46110153"
"EDDW","Bremen Airport","DE","8.78666973114, 53.0475006104"
"EDLW","Dortmund Airport","DE","7.61223983765, 51.518299102799"
"EDSB","Karlsruhe Baden-Baden Airport","DE","8.08049964905, 48.7793998718"
"EETN","Lennart Meri Tallinn Airport","EE","24.832799911499997, 59.4132995"
"EFHK","Helsinki Vantaa Airport","FI","24.963300704956, 60.3171997070"
"EGAA","Belfast International Airport","GB","-6.2158298492399995, 54.657501"
"EGAC","George Best Belfast City Airport","GB","-5.872499942779541, 54.6180992"
"EGBB","Birmingham International Airport","GB","-1.74802994728, 52.45389938349"
"EGCC","Manchester Airport","GB","-2.2749500274658203, 53.353698"
"EGCN","Robin Hood Doncaster Sheffield Airport","GB","-1.01065635681, 53.4805378105"
"EGFF","Cardiff International Airport","GB","-3.343329906463623, 51.3967018"
"EGGD","Bristol Airport","GB","-2.71909, 51.382702"
"EGGP","Liverpool John Lennon Airport","GB","-2.849720001220703, 53.3335990"
"EGGW","London Luton Airport","GB","-0.36833301186561584, 51.87469"
"EGHH","Bournemouth Airport","GB","-1.8424999713897705, 50.779998"
"EGHI","Southampton Airport","GB","-1.3567999601364136, 50.950298"
"EGKK","London Gatwick Airport","GB","-0.190278, 51.148102"
"EGLL","London Heathrow Airport","GB","-0.461941, 51.4706"
"EGNM","Leeds Bradford Airport","GB","-1.6605700254440308, 53.865898"
"EGNT","Newcastle Airport","GB","-1.6916699409484863, 55.037498"
"EGNX","East Midlands Airport","GB","-1.32806003094, 52.8311004639"
